[2025-11-08 15:58:53,032] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"time":1762588733,"self_id":3927480137,"post_t...","sub_type":"connect"}' [116 bytes]
[2025-11-08 15:58:53,032] INFO     [MainThread|MainProcess] Logger (connect.py:on_message:72) | 机器人 3927480137 成功启动
[2025-11-08 15:59:17,490] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"time":1762588757,"self_id":3927480137,"post_t...true},"interval":30000}' [149 bytes]
[2025-11-08 15:59:17,491] DEBUG    [MainThread|MainProcess] Logger (connect.py:on_message:74) | {'time': 1762588757, 'self_id': 3927480137, 'post_type': 'meta_event', 'meta_event_type': 'heartbeat', 'status': {'online': True, 'good': True}, 'interval': 30000}
[2025-11-08 15:59:19,663] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"self_id":3927480137,"user_id":3257053519,"tim...,"group_id":1038216943}' [446 bytes]
[2025-11-08 15:59:19,663] DEBUG    [MainThread|MainProcess] Logger (client.py:handle_group_event:165) | {'group_id': '1038216943', 'user_id': '3257053519', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 3257053519, 'nickname': '梦蝶', 'card': ''}", 'raw_message': '/banGd 1038216943', 'message_id': '1684509020', 'message_seq': '1684509020', 'real_id': '1684509020', 'message': "[{'type': 'text', 'data': {'text': '/banGd 1038216943'}}]", 'message_format': 'array'}
[2025-11-08 15:59:19,664] INFO     [MainThread|MainProcess] Logger (main.py:on_group_message:972) | {'group_id': '1038216943', 'user_id': '3257053519', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 3257053519, 'nickname': '梦蝶', 'card': ''}", 'raw_message': '/banGd 1038216943', 'message_id': '1684509020', 'message_seq': '1684509020', 'real_id': '1684509020', 'message': "[{'type': 'text', 'data': {'text': '/banGd 1038216943'}}]", 'message_format': 'array'}
[2025-11-08 15:59:19,671] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-11-08 15:59:19,672] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET /api HTTP/1.1
[2025-11-08 15:59:19,672] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-11-08 15:59:19,673] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-11-08 15:59:19,673] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-11-08 15:59:19,673] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: iz4hcnMcfYMxul3Jn8FhIA==
[2025-11-08 15:59:19,673] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-11-08 15:59:19,673] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-11-08 15:59:19,673] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-11-08 15:59:19,673] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.13 websockets/10.4
[2025-11-08 15:59:19,675] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-11-08 15:59:19,675] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
[2025-11-08 15:59:19,676] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-11-08 15:59:19,676] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: SDH/oig1xYh6XB6Rz99noUjoxVA=
[2025-11-08 15:59:19,676] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-11-08 15:59:19,676] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > TEXT '{"action": "send_group_msg", "params": {"group_...]}, "echo": 1762588759}' [267 bytes]
[2025-11-08 15:59:20,129] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"status":"ok","retcode":0,"data":{"message_id"...":"","echo":1762588759}' [104 bytes]
[2025-11-08 15:59:20,130] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_close_frame:1232) | = connection is CLOSING
[2025-11-08 15:59:20,130] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > CLOSE 1000 (OK) [2 bytes]
[2025-11-08 15:59:20,131] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < CLOSE 1000 (OK) [2 bytes]
[2025-11-08 15:59:20,132] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_lost:1514) | = connection is CLOSED
[2025-11-08 15:59:20,133] DEBUG    [MainThread|MainProcess] Logger (function_enhance.py:check_and_log:76) | {'status': 'ok', 'retcode': 0, 'data': {'message_id': 1263745371}, 'message': '', 'wording': '', 'echo': 1762588759}
[2025-11-08 15:59:30,902] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"self_id":3927480137,"user_id":3451838145,"tim...","group_id":244188291}' [468 bytes]
